Rank,Player Name,Club,Position,Minutes Played,Matches Played,Goals,Assists,Distance Covered (km),Top Speed (km/h)
303,Pavard,Marseille,Defender,537,6,0,0,59.9,31.9
304,Lewis-Skelly,Arsenal,Midfielder,536,8,0,1,62.4,32
305,Tillman,Leverkusen,Midfielder,534,10,2,0,71.9,33.2
306,Pedro Gonçalves,Sporting CP,Midfielder,533,8,1,1,62.7,32.7
306,Mouriño,Villarreal,Defender,533,6,0,0,59.4,32.2
308,João Pedro,Chelsea,Forward,532,8,3,0,66.6,33.2
309,Elyounoussi,Copenhagen,Forward,531,7,1,1,72.6,32.6
310,Beier,B. Dortmund,Forward,529,9,1,2,62.3,35
310,Niang,Union SG,Midfielder,529,7,0,0,64.3,32.7
312,Ait El Hadj,Union SG,Midfielder,527,7,1,1,71.2,31.9
312,P. A. Gueye,Villarreal,Midfielder,527,7,0,0,66.4,32.1
314,Saka,Arsenal,Forward,525,8,2,2,61.3,32.5
315,Balde,Barcelona,Defender,523,8,0,1,60.7,34.1
316,Jackers,Club Brugge,Goalkeeper,521,6,0,0,33.4,27.6
317,Esposito,Inter,Forward,519,9,2,2,64.6,30.1
318,Coulibaly,Monaco,Midfielder,517,9,0,1,69.5,33.5
318,Larsson,Frankfurt,Midfielder,517,7,0,0,70.1,30.2
320,Tapalov,Kairat Almaty,Midfielder,516,8,0,0,63.9,33
320,Camara,Monaco,Midfielder,516,6,0,0,65.1,31
322,Merino,Arsenal,Midfielder,515,7,2,0,71,30.7
322,Khusanov,Man City,Defender,515,6,0,0,57.8,36.1
324,De Jong,Barcelona,Midfielder,514,8,0,1,67,31.2
325,J. Timber,Arsenal,Defender,512,7,1,1,56.2,32.6
326,Salah-Eddine,PSV,Defender,510,7,0,0,58.4,33.4
327,Foden,Man City,Midfielder,509,7,2,1,71.4,32.9
327,Onyedika,Club Brugge,Midfielder,509,6,2,1,64.7,32.3
329,Navarro,Athletic Club,Midfielder,508,7,2,2,62.7,34.4
330,Zakaria,Monaco,Midfielder,507,6,0,0,58.4,32.7
331,Rúben Dias,Man City,Defender,506,7,0,0,63.8,31.9
331,Alisson Becker,Liverpool,Goalkeeper,506,6,0,0,29.8,26
333,Weah,Marseille,Midfielder,505,7,1,1,58.5,34.3
333,Lobotka,Napoli,Midfielder,505,6,0,0,68,30.4
335,Alejandro Rego,Athletic Club,Midfielder,502,8,0,0,64.6,31.6
336,Scamacca,Atalanta,Forward,501,10,3,1,56.9,31.1
336,Lang,Galatasaray,Forward,501,10,2,0,56.4,33.7
338,Francisco Conceição,Juventus,Forward,500,9,1,0,56,34
338,Chaibi,Frankfurt,Forward,500,8,1,1,68.6,32.6
340,Vivian,Athletic Club,Defender,495,6,0,0,59,32.9
340,Balerdi,Marseille,Defender,495,6,0,0,57,32.5
342,Gaaei,Ajax,Defender,492,7,1,1,66,33.9
342,Golovin,Monaco,Midfielder,492,7,0,1,64.6,31.9
344,Mosquera,Arsenal,Defender,490,8,0,0,59.3,33.9
345,Taremi,Olympiacos,Forward,488,10,2,2,64,31.9
346,Gloukh,Ajax,Midfielder,487,8,3,0,63.5,32.6
346,Robertson,Liverpool,Defender,487,7,1,1,55.9,32.5
348,Odobert,Tottenham,Midfielder,484,7,1,2,60,34.4
349,Sučić,Inter,Midfielder,481,10,1,0,70,32.7
349,Bellanova,Atalanta,Defender,481,9,0,0,58.9,35.8
349,Richarlison,Tottenham,Forward,481,7,1,1,57.1,31
349,Singo,Galatasaray,Defender,481,7,0,1,54.2,34.5
349,Fofana,Chelsea,Defender,481,6,0,1,52.3,35.5
354,Elanga,Newcastle,Forward,480,10,2,0,58,35.5
355,Camavinga,Real Madrid,Midfielder,479,11,1,1,58.7,34.4
356,Danso,Tottenham,Defender,478,8,0,0,53.8,32.3
356,Doan,Frankfurt,Midfielder,478,7,0,1,59.1,33.2
358,Gusto,Chelsea,Defender,476,7,1,1,59.3,33.7
359,Adeyemi,B. Dortmund,Forward,475,9,3,2,55.7,35.6
